ID,Item_ID,Datetime,Category_3,Category_2,Category_1,Price,Number_Of_Sales
30495_20140101,30495,01-01-2014,0,2,90,165.123,1
30375_20140101,30375,01-01-2014,0,2,307,68.666,5
30011_20140101,30011,01-01-2014,0,3,67,253.314,2
30864_20140101,30864,01-01-2014,0,2,315,223.122,1
30780_20140101,30780,01-01-2014,1,2,132,28.75,1
30927_20140101,30927,01-01-2014,0,1,38,4.345,402
31342_20140101,31342,01-01-2014,0,2,38,2.874,832
30540_20140101,30540,01-01-2014,0,3,38,3.123,423
29999_20140101,29999,01-01-2014,0,3,67,7.286,133
30068_20140101,30068,01-01-2014,0,2,195,0.843,375
30541_20140101,30541,01-01-2014,0,4,195,0.976,43
30602_20140101,30602,01-01-2014,0,2,277,1.091,266
30622_20140101,30622,01-01-2014,0,3,277,1.438,100
30825_20140101,30825,01-01-2014,0,3,291,5.042,81
31012_20140101,31012,01-01-2014,0,5,307,0.832,100
31062_20140101,31062,01-01-2014,0,1,307,5.504,1
29841_20140101,29841,01-01-2014,0,2,307,0.718,231
30903_20140101,30903,01-01-2014,0,3,307,1.296,58
31308_20140101,31308,01-01-2014,0,4,307,0.873,40
31288_20140101,31288,01-01-2014,0,5,80,0.171,30
30317_20140101,30317,01-01-2014,0,2,80,0.212,262
31193_20140101,31193,01-01-2014,0,4,80,0.322,87
30531_20140101,30531,01-01-2014,0,2,83,0.03,336
30933_20140101,30933,01-01-2014,0,3,83,0.039,430
30111_20140101,30111,01-01-2014,0,5,345,0.04,246
30835_20140101,30835,01-01-2014,0,1,345,0.503,10
30108_20140101,30108,01-01-2014,0,2,345,0.031,308
30995_20140101,30995,01-01-2014,0,3,345,0.055,476
31285_20140101,31285,01-01-2014,0,4,345,0.033,52
30093_20140101,30093,01-01-2014,0,3,23,6.123,326
29967_20140101,29967,01-01-2014,0,3,116,10.783,54
31047_20140101,31047,01-01-2014,0,3,151,6.633,32
30345_20140101,30345,01-01-2014,0,1,207,9.651,272
30190_20140101,30190,01-01-2014,0,2,267,5.212,93
29732_20140101,29732,01-01-2014,0,3,267,7.473,41
30429_20140101,30429,01-01-2014,0,4,267,5.244,12
30148_20140101,30148,01-01-2014,0,2,294,14.075,120
31367_20140101,31367,01-01-2014,0,5,307,1.384,60
30280_20140101,30280,01-01-2014,0,1,307,4.92,3
30679_20140101,30679,01-01-2014,0,2,307,1.289,275
29991_20140101,29991,01-01-2014,0,3,307,1.951,91
29988_20140101,29988,01-01-2014,0,4,307,1.391,38
29917_20140101,29917,01-01-2014,0,3,332,4.572,18
30653_20140101,30653,01-01-2014,0,,0,2.632,1270
29955_20140101,29955,01-01-2014,0,,0,0.038,6066
30485_20140101,30485,01-01-2014,0,1,148,5.182,87
29826_20140101,29826,01-01-2014,0,5,226,0.845,136
30223_20140101,30223,01-01-2014,0,2,226,0.736,416
30890_20140101,30890,01-01-2014,0,5,385,2.225,4
30035_20140101,30035,01-01-2014,0,1,385,2.625,46
30386_20140101,30386,01-01-2014,0,3,385,2.188,80
30783_20140101,30783,01-01-2014,0,4,385,2.161,6
30491_20140101,30491,01-01-2014,0,2,31,0.067,780
29863_20140101,29863,01-01-2014,0,1,77,1.242,24
30481_20140101,30481,01-01-2014,0,2,77,0.708,33
30499_20140101,30499,01-01-2014,0,3,77,0.942,28
30572_20140101,30572,01-01-2014,0,1,79,0.322,4
30815_20140101,30815,01-01-2014,0,2,79,0.039,1515
30628_20140101,30628,01-01-2014,0,3,79,0.041,164
29819_20140101,29819,01-01-2014,0,4,79,0.035,33
30233_20140101,30233,01-01-2014,0,5,83,0.042,132
31302_20140101,31302,01-01-2014,0,1,83,0.905,8
31272_20140101,31272,01-01-2014,0,2,83,0.037,610
30216_20140101,30216,01-01-2014,0,3,83,0.055,164
30692_20140101,30692,01-01-2014,0,4,83,0.035,282
31004_20140101,31004,01-01-2014,0,2,104,1.548,20
31339_20140101,31339,01-01-2014,0,1,169,0.514,282
30053_20140101,30053,01-01-2014,0,5,339,0.154,28
30924_20140101,30924,01-01-2014,0,5,79,0.039,412
29896_20140101,29896,01-01-2014,0,2,84,0.051,615
30119_20140101,30119,01-01-2014,0,5,92,0.071,17
30719_20140101,30719,01-01-2014,0,2,92,0.104,327
29849_20140101,29849,01-01-2014,0,4,92,0.127,22
30887_20140101,30887,01-01-2014,0,1,278,2.196,159
30606_20140101,30606,01-01-2014,0,2,278,1.27,173
30241_20140101,30241,01-01-2014,0,3,278,1.51,187
31358_20140101,31358,01-01-2014,0,5,338,0.618,11
31001_20140101,31001,01-01-2014,0,1,338,33.32,2
30335_20140101,30335,01-01-2014,0,2,355,0.539,120
30504_20140101,30504,01-01-2014,0,3,355,0.788,48
30689_20140101,30689,01-01-2014,0,2,83,0.033,343
30613_20140101,30613,01-01-2014,0,3,83,0.039,78
